Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-04-12,RAfjUt32h4,erjFOF21dc,Idl8wh93sv,Reverse Barbell Curl,10,9.071858188712795,fake_id_432
2021-02-17,Wip9F8T92g,pM3aRwuufC,DTYszWcaHj,Stability Ball Hyperextension,12,0.0,fake_id_424
2021-06-07,ELDvTboBdA,pGKwaDfr6n,lvAqWFKkIF,Glute Ham Raise Situp,10,6.8038936415345965,fake_id_433
2021-04-06,q8PPxTM9Dt,otjt26R0oL,edBPGFMh97,Barbell Shoulder Press,12,20.41168092460379,fake_id_401
2021-06-09,YCZcaKwcos,otjt26R0oL,ngUbhmAcP2,Barbell Shoulder Press,6,52.16318458509857,fake_id_393
2021-04-08,PwOKZQQiju,XlazCsjHwn,P798EQ5klt,Hang Snatch,6,20.41168092460379,fake_id_419
2021-06-21,j1KMIRfRAX,otjt26R0oL,54fuRflmg6,Barbell Shoulder Press,10,9.071858188712795,fake_id_432
2021-10-04,Y4nBwMh26G,k3yxx2a6oz,4ONOj9fGuK,Seated Machine Calf Press,15,90.71858188712795,fake_id_429
2021-06-09,FaNG2BWOHi,3GvUTFN8up,5XBWOqBBui,Calf Raise,30,20.41168092460379,fake_id_448
2021-03-10,grsRWlSx9A,jgnSb5e39S,93DyasnZHk,Australian Chin Up,4,0.0,fake_id_394
2021-06-09,DKLMmhGRiI,tTFy5YOe7N,aGin03T1BD,Single Arm Overhead Press,10,15.87575183024739,fake_id_439
2021-02-24,FFVe2anM69,N6zu9IJNBz,jHdG75QW7k,Leg Raise,10,0.0,fake_id_405
2021-06-14,aNMbDlOfqk,7wof3tzAVY,Ahxw7oBSmC,Smith Machine Stiff-Legged Deadlift,12,9.071858188712795,fake_id_414
2021-06-24,jhT3b3C0KE,Gx6Z2fevPD,ChgmHPvb1b,Incline Dumbbell Row,20,22.67964547178199,fake_id_430
2021-08-28,lQ4huzykR4,9VAkz3bNl4,DN3NZUwRb5,Decline Push Up,19,0.0,fake_id_415
2021-05-20,trZx6l6aFg,ewEcdHovom,GZj6uvtlBr,Hanging Leg Raise,13,0.0,fake_id_410
2021-01-18,8NtVlSVSTK,9VAkz3bNl4,pkIvaXoiGt,Decline Push Up,5,0.0,fake_id_398
2021-01-04,RnNjXHFOiZ,dFycDkJyHe,TXEf3MvaJn,Dumbbell Shoulder Raise,7,5.669911367945497,fake_id_402
2021-06-12,YtHPedNbnR,ewEcdHovom,irg0CXkG7q,Hanging Leg Raise,9,0.0,fake_id_412
2021-03-23,CHJ18TZinj,G1mxtZtEs5,hspdwUrL71,Back Squat,10,45.35929094356398,fake_id_431
2021-04-29,WgrexL2Qb8,AOQBAQ8rXC,45QxnogxhN,Pendlay Row,10,56.69911367945497,fake_id_419
2021-03-27,NY1G0wS1Rx,N6zu9IJNBz,WkapjGGlDG,Leg Raise,30,0.0,fake_id_431
2021-09-01,q7nhrKEj3r,3GvUTFN8up,bREY8H5ZXi,Calf Raise,8,27.215574566138386,fake_id_395
2021-03-14,qp6sWDxqQb,1sQqqUqJyp,OXKF0k8hg2,Frog Pump,10,0.0,fake_id_394
2021-09-03,4k8adrb2q7,y2Gg0PEzd8,JJk52iXhoB,Preacher Curl,15,20.41168092460379,fake_id_410
2021-02-04,5lWhr6iJhK,crpeAKEXTd,VBqVDxeN2D,TRX Atomic Push Up,10,0.0,fake_id_406
2021-04-09,8SIym8S1MJ,06kzIMnTzR,Ev4EiuVnFO,Oblique Crunch,21,0.0,fake_id_406
2021-05-21,NQi8Tqb1cu,DhkjvJNsNR,03n7Z2C8Hq,Sit Up,25,0.0,fake_id_436
2021-08-15,3chs0yMM2J,xPS7RzoOGm,LRPOF17pIF,Bent Over Barbell Row,10,43.091326396385774,fake_id_396
2021-04-20,wAvxYikbwI,AF7Qq7XK2r,bM50nmpqC0,Air Squats,14,0.0,fake_id_439
2021-07-14,7h2HXRCose,otjt26R0oL,gAjCpFvfGG,Barbell Shoulder Press,6,29.483539113316585,fake_id_405
2021-02-05,WsLKGvgltA,4IMiKZHvCG,tGcJixypWg,Shotgun Row,6,34.01946820767298,fake_id_408
2021-07-27,eGooD5d3OE,9VAkz3bNl4,henITYloDe,Decline Push Up,10,0.0,fake_id_398
2021-02-07,LvAJUOVWG3,9VAkz3bNl4,YYKV0DrTe0,Decline Push Up,20,0.0,fake_id_395
2021-04-08,XEAGiF4nC5,xPS7RzoOGm,ChekrJCMsM,Bent Over Barbell Row,9,29.483539113316585,fake_id_417
2021-02-11,GGOByFWHnS,3GvUTFN8up,oMhaEp2x5s,Calf Raise,12,27.215574566138386,fake_id_395
2021-07-12,BlyXABBJv9,AF7Qq7XK2r,Zuet8uRxZu,Air Squats,15,13.607787283069193,fake_id_406
2021-07-16,8w7AIsEZ7c,EAjKaB5zWy,AlnETGjhjj,Dumbbell Kickbacks,12,6.8038936415345965,fake_id_409
2021-07-26,r97EA2Kea8,G1mxtZtEs5,Zl9Gfb792P,Back Squat,5,61.235042773811365,fake_id_401
2021-01-11,Ql5HHOm4lv,UThEK7cf4f,NuhPapNAqQ,Machine Fly,12,45.35929094356398,fake_id_425
2021-05-18,JzEgtgS7Hn,UThEK7cf4f,t44LyZsimj,Machine Fly,12,27.215574566138386,fake_id_440
2021-04-19,qBUnvFyr8O,G1mxtZtEs5,QfEBixFG1a,Back Squat,5,92.98654643430615,fake_id_408
2021-01-23,9dEfrbFzDN,UThEK7cf4f,8DfkUZfPz0,Machine Fly,12,63.50300732098956,fake_id_425
2021-01-18,DeeyTcRvVN,243X43p1XP,dsnVufubF0,Seated Leg Curl,15,31.75150366049478,fake_id_392
2021-04-26,Qo2D42BJsK,jgnSb5e39S,16dxCAEYPx,Australian Chin Up,15,0.0,fake_id_392
2021-01-25,5noMRMbOH1,dFycDkJyHe,NMHMUra5wN,Dumbbell Shoulder Raise,11,6.8038936415345965,fake_id_393
2021-04-19,CB5ho8Um5i,qfkBJ4A5eQ,koIMHylwyA,Dead Bug,7,0.0,fake_id_398
2021-02-03,XouZnoCYHg,Gx6Z2fevPD,VO0y4VaCAz,Incline Dumbbell Row,12,20.41168092460379,fake_id_419
2021-04-20,j2xLMlmyMI,9fptvki4pW,SPSLBRCkIl,Barbell Hip Thrust,10,106.59433371737533,fake_id_401
2021-08-24,OHyf9uiW2Q,omtypRFVyt,5sk2KPL7xg,Power Clean,5,34.01946820767298,fake_id_402
2021-01-11,hJcnArEDKk,zJlvUiMLou,GIwud34aTx,Barbell Incline Bench Press,4,52.16318458509857,fake_id_434
2021-03-18,p9okUmahfC,3GvUTFN8up,KmFnzPqTza,Calf Raise,11,0.0,fake_id_393
2021-08-31,ro6PD7DJ1N,tTFy5YOe7N,1eO3XZcmmp,Single Arm Overhead Press,15,9.071858188712795,fake_id_395
2021-06-11,RdNYHnvBD3,9q2Cdgm0FM,cgGHiqDKUp,Machine Leg Press,10,86.18265279277155,fake_id_410
2021-01-29,nHHHQT5LyP,G1mxtZtEs5,48PdozLvpl,Back Squat,6,58.96707822663317,fake_id_401
2021-02-01,ZIYPfN4VdB,BN1DjSE1Zi,dNjLHQFvb4,Romanian Deadlift,12,4.535929094356398,fake_id_409
2021-06-30,ZPiqF9Ubvz,oDI8CKhqJi,cz5JOCtDAY,Single Arm Preacher Curl,10,13.607787283069193,fake_id_413
2021-02-26,etfAwFeIlv,1sQqqUqJyp,0QVrjDdKxm,Frog Pump,9,0.0,fake_id_394
2021-08-14,qPoME049V0,AF7Qq7XK2r,YQsJ1vdvR5,Air Squats,25,0.0,fake_id_395
2021-05-27,SHSTN5nN7D,AF7Qq7XK2r,ZyU1KkUV5w,Air Squats,15,0.0,fake_id_433
2021-07-28,13KsUn7Hvo,7wof3tzAVY,i6Js2ITLOc,Smith Machine Stiff-Legged Deadlift,8,49.895220037920375,fake_id_412
2021-07-14,D4ixSmI8Ru,G1mxtZtEs5,MwtIS7i0DX,Back Squat,3,111.13026281173174,fake_id_435
2021-01-28,Lc8D5s1pXY,djuvlRHUvb,YaTEaVcNTo,Dumbbell Rear Delt Raise,12,4.535929094356398,fake_id_402
2021-01-27,w8GNDwQp3x,fxXbcxfkLt,Z4ffCArnzT,Exercise Ball Crunch,12,9.071858188712795,fake_id_403
2021-02-11,02SGmXPwDi,r4bOO0fDTv,vkSUmOzGkn,Plank,0,0.0,fake_id_433
2021-08-23,lpekVwUwZ4,243X43p1XP,thRxAV3VWX,Seated Leg Curl,12,65.77097186816776,fake_id_408
2021-03-02,bDqeCIeUQv,243X43p1XP,KClix8dq4b,Seated Leg Curl,5,63.50300732098956,fake_id_396
2021-02-10,nwLnM5KSrY,djuvlRHUvb,FLDt7thxF6,Dumbbell Rear Delt Raise,11,7.5,fake_id_428
2021-08-12,j2hd0DpvJB,ISJBgnjnsY,D3GAQDOwNE,Single Arm Row,8,24.947610018960187,fake_id_429
2021-11-07,FhX7cbgUBw,xPS7RzoOGm,KLUYDYyank,Bent Over Barbell Row,6,31.75150366049478,fake_id_416
2021-09-27,gilgxB1edz,zJlvUiMLou,D2BB5lvGoo,Barbell Incline Bench Press,10,52.16318458509857,fake_id_392
2021-06-05,sqBbsdzH9V,otjt26R0oL,E9TEh7iGlr,Barbell Shoulder Press,6,38.55539730202938,fake_id_434
2021-11-03,kyOnGv6jut,BTmBzxhAmZ,zqUbSsnqdB,Dumbbell Pullover,9,11.339822735890994,fake_id_396
2021-05-03,wx4W4SPntM,djuvlRHUvb,0hCcSvwyVY,Dumbbell Rear Delt Raise,10,5.669911367945497,fake_id_432
2021-04-21,t0Qch4MS3y,JZcl0pTDEj,oj6S4MzSAg,TRX Glute Bridge,10,0.0,fake_id_415
2021-08-26,XrwXjcSd3H,GbK7ZSbRC6,9VCLnpfC23,Kettlebell Sumo High Pull,5,13.607787283069193,fake_id_441
2021-04-19,BBYhHMY9xZ,BN1DjSE1Zi,z3sGDqJFWH,Romanian Deadlift,5,124.73805009480093,fake_id_413
2021-10-08,3FoEEuVw7V,EAjKaB5zWy,pCGZIhW9Ma,Dumbbell Kickbacks,17,9.071858188712795,fake_id_406
2021-01-18,DeeyTcRvVN,so3n0BqhED,z5x5KkcePq,Smith Machine Calf Raise,15,52.16318458509857,fake_id_392
2021-01-26,uKy2FAIPGl,3GvUTFN8up,KXESXPrxV0,Calf Raise,20,61.235042773811365,fake_id_426
2021-01-28,EgUvGbtTKC,58REE5sJU1,VuJLfZTuEW,Russian Twist,18,4.535929094356398,fake_id_435
2021-07-07,ztYdPpmhQy,yR61QnjQAO,aCq4orgsEj,Medicine Ball Push Up,13,0.0,fake_id_400
2021-09-25,lPoIebz47g,erjFOF21dc,E4F57aOGVC,Reverse Barbell Curl,10,20.41168092460379,fake_id_392
2021-01-25,ZLAIR7sLBw,aIzmfLklht,rHxMVv1MjG,Dumbbell Step Up,10,13.607787283069193,fake_id_403
2021-01-31,KqIglAfx6j,EAjKaB5zWy,2ugGig15EU,Dumbbell Kickbacks,10,9.071858188712795,fake_id_426
2021-05-19,4yPpSS2yYv,EAjKaB5zWy,3wba64pQ5B,Dumbbell Kickbacks,8,11.339822735890994,fake_id_411
2021-03-16,hmtZv4R1PI,DhkjvJNsNR,96itb1D2bg,Sit Up,29,0.0,fake_id_406
2021-09-16,DV7WKnuB5N,9VAkz3bNl4,O4WrhHEBJA,Decline Push Up,7,0.0,fake_id_409
2021-05-27,vmwOmYYPpg,243X43p1XP,luOP0YVOap,Seated Leg Curl,12,40.82336184920758,fake_id_392
2021-02-22,j6oTPQX56x,y2Gg0PEzd8,3kJqGwEza1,Preacher Curl,6,41.730547668078856,fake_id_430
2021-07-10,m9MZAi13Az,UThEK7cf4f,8O9gEk4uOq,Machine Fly,12,58.96707822663317,fake_id_425
2021-01-05,Q4VAHl3vT1,QFhUumXlvb,v8s4ZWKEKW,Reverse Grip Barbell Bent Over Row,12,29.483539113316585,fake_id_423
2021-08-24,QjIoPUSQsJ,fxXbcxfkLt,xQ1REzomHh,Exercise Ball Crunch,20,0.0,fake_id_401
2021-06-23,uK4IyBxxjc,wNImc4b4MY,mwc3252D14,Leg Curl,10,40.82336184920758,fake_id_403
2021-02-24,Zb9kMEzMSj,G1mxtZtEs5,oHTmuoYZPQ,Back Squat,5,58.96707822663317,fake_id_401
2021-11-09,smdv2jjB2b,EAjKaB5zWy,h7iwcOG2kD,Dumbbell Kickbacks,12,9.071858188712795,fake_id_424
2021-08-24,qTtwFED6IH,w5njIJMJHb,UAbTciKKxw,Kettlebell Upright Row,12,6.8038936415345965,fake_id_409
2021-03-04,mufeT47wUM,nNMm3ywt6H,A5Ec6WMGGN,Pike Push Up,16,0.0,fake_id_419
2021-07-22,1HONaXUGR6,xPS7RzoOGm,juaqQfofD1,Bent Over Barbell Row,10,49.895220037920375,fake_id_396
2021-04-21,GrOBOPaBUk,58REE5sJU1,lG7A523voN,Russian Twist,10,13.607787283069193,fake_id_403
2021-01-25,GX52z9Yko1,s5tzCNPRXw,1nWL4940Nc,Lunge Jump,9,0.0,fake_id_420
2021-09-13,Ev2sCLyCqZ,HpJxPvuCBP,dW37CP7bY4,Dumbbell Clean,8,11.339822735890994,fake_id_395
2021-03-01,RwQFDYht0V,djuvlRHUvb,AHtQBQ0HY0,Dumbbell Rear Delt Raise,16,7.937875915123695,fake_id_412
2021-03-31,KSHiJXDyUF,AF7Qq7XK2r,CkVG6lFRNG,Air Squats,24,0.0,fake_id_400
2021-02-22,1GOCj1lgO3,G1mxtZtEs5,amqs5c8mSK,Back Squat,10,43.091326396385774,fake_id_402
2021-08-12,HDEyFrf0gj,06kzIMnTzR,BgCHv8qKhy,Oblique Crunch,13,0.0,fake_id_398
2021-07-12,Ji1wtA8QxR,wNImc4b4MY,y02BJZNyKE,Leg Curl,10,49.895220037920375,fake_id_429
2021-04-28,LgIUL3d0xe,EAjKaB5zWy,FhnsNgtGWt,Dumbbell Kickbacks,12,13.607787283069193,fake_id_447
2021-06-25,scigLAXy56,QFhUumXlvb,jodG6FXGiE,Reverse Grip Barbell Bent Over Row,15,43.091326396385774,fake_id_430
2021-03-20,5vsOWoOZRY,N6zu9IJNBz,HUxQKrHuFr,Leg Raise,14,0.0,fake_id_406
2021-03-18,0KXmjwLnbQ,xPS7RzoOGm,zotyatpEuq,Bent Over Barbell Row,10,61.235042773811365,fake_id_410
2021-06-03,oIt9eMI8L2,UQBXLgsfXN,OAhx8E3dE9,Dumbbell Shrug,12,22.67964547178199,fake_id_448
2021-02-19,0JLRUxpRE0,58REE5sJU1,ZpYK4EhbDe,Russian Twist,15,15.87575183024739,fake_id_410
2021-10-08,rVMHqsoUKj,LDHzRzwxaI,zfJfczMYVv,Exercise Ball Push Up,9,0.0,fake_id_420
2021-07-29,ZZGYYqlR3C,06kzIMnTzR,952Qy5Sxkw,Oblique Crunch,11,0.0,fake_id_398
2021-05-30,qlgmz3gWfM,erjFOF21dc,saBLIfHNCx,Reverse Barbell Curl,7,20.41168092460379,fake_id_392
2021-02-23,oSLRzeotlH,xPS7RzoOGm,IZCDxbXR9u,Bent Over Barbell Row,12,27.215574566138386,fake_id_393
2021-10-11,h9fGPHyLes,dOrcZrFXST,0JjSxPchCZ,Handle Band Pec Fly,11,0.0,fake_id_396
2021-09-03,WqgGioWHEQ,zJlvUiMLou,CBt3J7tGIF,Barbell Incline Bench Press,5,74.84283005688056,fake_id_408
2021-07-17,WEw7dI1qnL,243X43p1XP,7WrLKibgiX,Seated Leg Curl,8,40.82336184920758,fake_id_402
2021-09-30,La1jvCEBjZ,UQBXLgsfXN,TcklD3zsPs,Dumbbell Shrug,10,29.483539113316585,fake_id_418
2021-03-15,Dh0rIoWa70,erjFOF21dc,PoOWNEJ03f,Reverse Barbell Curl,15,22.67964547178199,fake_id_436
2021-06-08,cuEoemqRe7,xPS7RzoOGm,1drurnECr4,Bent Over Barbell Row,6,74.84283005688056,fake_id_430
2021-08-27,YWMC66ZLu2,djuvlRHUvb,G0OYcWehim,Dumbbell Rear Delt Raise,10,4.535929094356398,fake_id_402
2021-03-03,lGXkakohu2,AF7Qq7XK2r,msgUyyVfnu,Air Squats,20,10.205840462301895,fake_id_412
2021-05-12,YnxkWW6t25,JZcl0pTDEj,gcd8FYKRhA,TRX Glute Bridge,20,0.0,fake_id_420
2021-08-23,V0CKmkH64Q,EAjKaB5zWy,jP1zg26KWk,Dumbbell Kickbacks,14,4.535929094356398,fake_id_394
2021-04-12,YhzKEU5Goq,erjFOF21dc,Ag3ON7tmh5,Reverse Barbell Curl,15,27.215574566138386,fake_id_408
2021-09-03,HY2C23uYH1,erjFOF21dc,Hd42AFUDai,Reverse Barbell Curl,5,22.67964547178199,fake_id_435
2021-02-17,OlsKsylvA2,DdtF1OFcuQ,FZixs7X8RK,Tricep Push Up,11,0.0,fake_id_402
2021-05-12,jVWbdFe6BU,crpeAKEXTd,GAQvxYXxRV,TRX Atomic Push Up,10,0.0,fake_id_406
2021-06-22,FQA2c8F3TV,1mSqEHZVVv,lqejMXR6xC,Machine Reverse Fly,14,52.16318458509857,fake_id_410
2021-04-13,i2OEMEDhUY,DhkjvJNsNR,n7BXTWt6J4,Sit Up,24,0.0,fake_id_415
2021-10-14,pNOkfagVgQ,ewEcdHovom,ARRnW4tKvi,Hanging Leg Raise,9,0.0,fake_id_402
2021-06-28,xreSXdPiqf,djuvlRHUvb,J0p8QW6KzN,Dumbbell Rear Delt Raise,16,5.669911367945497,fake_id_401
2021-02-25,5UWcARCDZI,6wceEWn4V1,uCR1L77Jvc,Incline Svend Press,12,4.535929094356398,fake_id_417
2021-02-19,8bQXTfteJZ,y2Gg0PEzd8,t43XUlUyMX,Preacher Curl,12,27.215574566138386,fake_id_412
2021-04-20,1xWQ1fZZkr,HggeHLeipS,n75z6lloCD,Cable Double Bicep Curl,6,22.67964547178199,fake_id_419
2021-07-14,7h2HXRCose,otjt26R0oL,avhCVHnEBl,Barbell Shoulder Press,6,29.483539113316585,fake_id_405
2021-04-12,7oka6EyzWd,r4bOO0fDTv,xWu56MGIRf,Plank,0,0.0,fake_id_399
2021-10-05,I13CyCHNv9,cDYgx7gYHz,w7FjZIgzWU,Tate Press,12,9.071858188712795,fake_id_418
2021-11-03,2n4S7G87Ih,qfkBJ4A5eQ,aK3et8oyMD,Dead Bug,15,0.0,fake_id_418
2021-03-07,yZpIHj9TBP,xPS7RzoOGm,5MMBq2rmsF,Bent Over Barbell Row,12,81.64672369841516,fake_id_408
2021-01-10,DT6rkkVm1z,otjt26R0oL,hvk5LlxNEC,Barbell Shoulder Press,5,25.0,fake_id_398
2021-07-29,d9BphCDT0y,5hsZsuO5vt,PW5Ry10AwW,Single Leg Hip Thrust,12,0.0,fake_id_423
2021-02-03,I7GCixuQtR,qfkBJ4A5eQ,Euit4KYGN6,Dead Bug,22,0.0,fake_id_393
2021-03-12,LTj5SmL12b,58REE5sJU1,GGaFuc5D5u,Russian Twist,15,18.14371637742559,fake_id_410
2021-08-05,rAhNabvqoF,dOrcZrFXST,ZVGD7DkNTN,Handle Band Pec Fly,10,0.0,fake_id_418
2021-02-06,TsUGZg0CKt,fxXbcxfkLt,i8xDjcAxgK,Exercise Ball Crunch,12,13.607787283069193,fake_id_403
2021-05-27,awv2MCtKQ1,AOQBAQ8rXC,KY2iuKI9EA,Pendlay Row,10,52.16318458509857,fake_id_408
2021-05-10,Z4w30wpfZC,ewEcdHovom,uLg6PQpx05,Hanging Leg Raise,13,0.0,fake_id_410
2021-05-04,pHaSB6hcli,9VAkz3bNl4,CMPADm3QLN,Decline Push Up,17,0.0,fake_id_392
2021-06-24,jhT3b3C0KE,G1mxtZtEs5,lqSNW4B0Dj,Back Squat,5,131.54194373633553,fake_id_430
2021-06-04,8iVOyCrEsa,ewEcdHovom,IXX1y9eUel,Hanging Leg Raise,8,0.0,fake_id_392
2021-03-31,rvwDoQp2uZ,otjt26R0oL,cBVcENkvFU,Barbell Shoulder Press,8,20.0,fake_id_398
2021-07-15,md3r4N17Nv,DhkjvJNsNR,4khrkjFeVW,Sit Up,15,0.0,fake_id_398
2021-01-30,7ENUrBrxSX,djuvlRHUvb,Nl20qkjljC,Dumbbell Rear Delt Raise,16,7.937875915123695,fake_id_412
2021-01-08,1s4LtT1UFv,r4bOO0fDTv,hVEt6h9xf8,Plank,0,0.0,fake_id_422
2021-07-27,YvUxe2HwIW,zJlvUiMLou,HUX1FZNnLo,Barbell Incline Bench Press,5,86.18265279277155,fake_id_412
2021-07-11,xlVSbVtVJf,DdtF1OFcuQ,qgSQfehBTZ,Tricep Push Up,12,0.0,fake_id_402
2021-03-22,Npig4DJd9f,06kzIMnTzR,NlTjzpXRxb,Oblique Crunch,25,0.0,fake_id_410
2021-08-12,HQw8IX9Mgj,otjt26R0oL,C74FKCetm6,Barbell Shoulder Press,5,70.30690096252415,fake_id_430
2021-09-23,RIyiRqMBMy,BN1DjSE1Zi,0Sqv7PSnAy,Romanian Deadlift,10,74.84283005688056,fake_id_429
2021-02-27,NlrDFUZgdK,DhkjvJNsNR,vEFhhKHkHg,Sit Up,12,0.0,fake_id_434
2021-09-07,sm9r5XUZaL,3GvUTFN8up,XuhY1UPBJg,Calf Raise,10,18.14371637742559,fake_id_395
2021-09-16,bK7JFX6ejL,243X43p1XP,Fvn0O2KljE,Seated Leg Curl,10,52.16318458509857,fake_id_447
2021-06-25,NqEdnONmfr,BN1DjSE1Zi,fmzRHmd1Rg,Romanian Deadlift,9,81.64672369841516,fake_id_412
2021-09-09,5jw4QEpKtc,58REE5sJU1,TXxbz3Bsiv,Russian Twist,10,13.607787283069193,fake_id_403
2021-09-10,TrGvmsqfsf,BN1DjSE1Zi,wrkKHMYdgJ,Romanian Deadlift,8,30.0,fake_id_398
2021-06-10,9nJ0wBv0BM,uHBREgyju0,h8nFdcak7B,Step Up,8,27.215574566138386,fake_id_411
2021-05-17,O0erF9bMi8,DhkjvJNsNR,PykGvv8nDC,Sit Up,12,0.0,fake_id_402
2021-08-10,Zn4AaJ1Q9H,4IMiKZHvCG,loZSNqqzPB,Shotgun Row,10,11.339822735890994,fake_id_402
2021-01-15,nXkVcOyt1C,AF7Qq7XK2r,i0AD1AKDN1,Air Squats,12,13.607787283069193,fake_id_406
2021-10-29,lLrEZ2ETGk,Gx6Z2fevPD,hWmQWRcb2p,Incline Dumbbell Row,12,15.87575183024739,fake_id_396
2021-04-11,MGYKhvq2Wp,zJlvUiMLou,FAV0lOnnhx,Barbell Incline Bench Press,15,31.75150366049478,fake_id_396
2021-06-03,jxUCN1vJPM,otjt26R0oL,g4v4h0frnD,Barbell Shoulder Press,8,38.55539730202938,fake_id_392
2021-10-16,ed5fSAzd9B,uHBREgyju0,EtQ0PaD3MO,Step Up,24,0.0,fake_id_408
2021-02-24,9kcGfiFJ28,fxXbcxfkLt,8mMLWuwmae,Exercise Ball Crunch,15,6.8038936415345965,fake_id_419
2021-04-20,CvhrAzPGg2,9VAkz3bNl4,Wq98OuemX7,Decline Push Up,21,0.0,fake_id_415
2021-02-04,5lWhr6iJhK,LDHzRzwxaI,krhg9ioaR7,Exercise Ball Push Up,15,0.0,fake_id_406
2021-04-03,VUUTLL5Dww,dOrcZrFXST,hbv97wMDEv,Handle Band Pec Fly,10,0.0,fake_id_396
2021-05-21,MBIY3DamlZ,omtypRFVyt,DEnVoLf31E,Power Clean,8,29.483539113316585,fake_id_402
2021-03-23,Vgg4qNyuQZ,Yw1aA3soIp,RG77QGl3sB,Dumbbell Sumo Squat,10,6.8038936415345965,fake_id_414
2021-03-28,XBKcJAmIGD,58REE5sJU1,4RJ8FflFOV,Russian Twist,18,4.535929094356398,fake_id_417
2021-03-09,fLah88zF9h,w5njIJMJHb,kDMYk3MdOS,Kettlebell Upright Row,15,11.339822735890994,fake_id_400
2021-07-24,c5CXNeIYNo,otjt26R0oL,0mPAavExBk,Barbell Shoulder Press,4,61.235042773811365,fake_id_412
2021-06-28,zTPGG3wamP,ewEcdHovom,FOROuYWhyd,Hanging Leg Raise,15,0.0,fake_id_410
2021-08-06,B3rUZeMUeq,dFycDkJyHe,QmqSDsHoMI,Dumbbell Shoulder Raise,2,4.535929094356398,fake_id_445
2021-10-28,DpwOcKovIL,9VAkz3bNl4,OzRNSeas0m,Decline Push Up,10,0.0,fake_id_440
